# Avida resource data
# Thu Nov 17 16:53:38 2011
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOT
#  3: resNAND
#  4: resAND
#  5: resORN
#  6: resOR
#  7: resANDN
#  8: resNOR
#  9: resXOR
# 10: resEQU
# 11: resNOTB
# 12: resNANDB
# 13: resANDB
# 14: resORNB
# 15: resORB
# 16: resANDNB
# 17: resNORB
# 18: resXORB
# 19: resEQUB

-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 
14 69.9708 69.9708 69.9708 69.9708 69.9708 69.9708 69.9708 69.9708 69.9708 0 0 0 0 0 0 0 0 0 
36 155.275 155.275 155.275 155.275 155.275 155.275 155.275 155.275 155.275 0 0 0 0 0 0 0 0 0 
49 197.497 197.497 197.497 197.497 197.497 197.497 197.497 197.497 197.497 0 0 0 0 0 0 0 0 0 
62 231.866 231.866 231.866 231.866 231.866 231.866 231.866 231.866 231.866 0 0 0 0 0 0 0 0 0 
74 262.33 262.33 262.33 262.33 262.33 262.33 262.33 262.33 262.33 0 0 0 0 0 0 0 0 0 
87 291.44 291.44 291.44 291.44 291.44 291.44 291.44 291.44 291.44 0 0 0 0 0 0 0 0 0 
99 315.135 315.135 315.135 315.135 315.135 315.135 315.135 315.135 315.135 0 0 0 0 0 0 0 0 0 
112 337.777 337.777 337.777 337.777 337.777 337.777 337.777 337.777 337.777 0 0 0 0 0 0 0 0 0 
123 354.756 354.756 354.756 354.756 354.756 354.756 354.756 354.756 354.756 0 0 0 0 0 0 0 0 0 
135 371.258 371.258 371.258 371.258 371.258 371.258 371.258 371.258 371.258 0 0 0 0 0 0 0 0 0 
147 385.885 385.885 385.885 385.885 385.885 385.885 385.885 385.885 385.885 0 0 0 0 0 0 0 0 0 
159 398.85 398.85 398.85 398.85 398.85 398.85 398.85 398.85 398.85 0 0 0 0 0 0 0 0 0 
173 412.126 412.126 412.126 412.126 412.126 412.126 412.126 412.126 412.126 0 0 0 0 0 0 0 0 0 
186 422.889 422.889 422.889 422.889 422.889 422.889 422.889 422.889 422.889 0 0 0 0 0 0 0 0 0 
198 431.65 431.65 431.65 431.65 431.65 431.65 431.65 431.65 431.65 0 0 0 0 0 0 0 0 0 
